id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,average_watts,suffer_score,calories,start_latlng,end_latlng,achievement_count,kudos_count,trainer,commute,manual,gear_id,description,distance_km,moving_time_min,pace_min_km,pace_str
18891644107,Afternoon Run,Run,Run,2026-06-12T13:46:48Z,16013.8,7631,7638,32.8,10.2,2.6,2.099,3.2,162.7,175.0,,137.7,178.0,,"51.475872,-0.156308","51.478151,-0.149944",9,4,0,0,0,g26095750,,16.0138,127.18,7.9421,7:56
18866078289,Afternoon Run,Run,Run,2026-06-10T14:38:36Z,6025.3,2868,2888,20.0,31.8,18.0,2.101,3.16,155.1,171.0,,139.3,45.0,,"51.46176,-0.140625","51.461201,-0.13968",9,2,0,0,0,g26095750,,6.0253,47.8,7.9332,7:55
18850094903,Lunch Run,Run,Run,2026-06-09T12:37:17Z,7067.6,3049,3056,13.2,8.2,2.8,2.318,3.18,166.2,186.0,,151.8,74.0,,"51.475834,-0.156403","51.474746,-0.154339",1,2,0,0,0,g26095750,,7.0676,50.82,7.1901,7:11
18850094666,Morning Run,Run,Run,2026-06-06T09:06:51Z,5074.1,2027,2027,3.2,6.6,-0.2,2.503,3.78,171.8,189.0,,163.4,63.0,,"51.478969,-0.159709","51.477799,-0.163013",0,3,0,0,0,g26095750,,5.0741,33.78,6.658,6:39
18797920531,Afternoon Run,Run,Run,2026-06-05T14:31:57Z,11505.1,5619,5627,9.6,8.0,0.2,2.048,3.347,161.4,173.0,,133.4,119.0,,"51.474444,-0.155972","51.475282,-0.156312",3,3,0,0,0,g26095750,,11.5051,93.65,8.1399,8:08
18769019769,Lunch Run,Run,Run,2026-06-03T12:03:24Z,8037.4,4046,4099,35.4,12.6,1.8,1.987,3.08,152.6,162.0,,130.8,47.0,,"51.475881,-0.156439","51.474537,-0.152754",12,3,0,0,0,g26095750,,8.0374,67.43,8.3899,8:23
18760493854,Evening Run,Run,Run,2026-06-02T19:33:41Z,5372.2,2584,2613,18.2,8.8,3.2,2.079,4.72,154.2,171.0,,136.7,36.0,,"51.474471,-0.155876","51.457993,-0.192059",9,3,0,0,0,g26095750,,5.3722,43.07,8.0166,8:00
18729933048,Afternoon Run,Run,Run,2026-05-31T14:17:35Z,5207.4,2423,2779,12.8,9.2,-0.2,2.149,3.14,156.9,177.0,,139.4,43.0,,"51.47373,-0.155352","51.476551,-0.155097",0,2,0,0,0,g26095750,,5.2074,40.38,7.755,7:45
18633082045,Morning Run,Run,Run,2026-05-24T08:16:31Z,21547.7,9857,10042,61.8,95.0,2.6,2.186,3.64,184.5,201.0,,140.1,494.0,,"55.945984,-3.188996","55.943833,-3.040584",0,7,0,0,0,g27048336,,21.5477,164.28,7.6242,7:37
18566250831,Lunch Pilates,Workout,Pilates,2026-05-19T11:14:35Z,0.0,2827,2827,0,0.0,0.0,0.0,0.0,104.7,166.0,,,7.0,,,,0,0,1,0,0,,,,47.12,,
18554406310,Lunch Run,Run,Run,2026-05-18T12:57:02Z,8006.9,3320,3496,36.0,13.8,-0.4,2.412,3.78,176.6,195.0,,159.3,126.0,,"51.475766,-0.156473","51.479896,-0.164682",7,2,0,0,0,g27048336,,8.0069,55.33,6.9107,6:54
